rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04271
epoch 10/1000: train 0.03760  val 0.03628  best val 0.03628 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.03393  val 0.03576  best val 0.03576 @ 20  lr 4.0e-05  0.6 min
epoch 30/1000: train 0.03913  val 0.03545  best val 0.03545 @ 30  lr 2.5e-05  0.9 min
epoch 40/1000: train 0.03698  val 0.03538  best val 0.03538 @ 40  lr 1.6e-05  1.2 min
epoch 50/1000: train 0.03344  val 0.03530  best val 0.03530 @ 50  lr 1.0e-05  1.5 min
epoch 60/1000: train 0.03397  val 0.03527  best val 0.03527 @ 60  lr 6.3e-06  1.7 min
epoch 70/1000: train 0.03204  val 0.03525  best val 0.03525 @ 70  lr 4.0e-06  2.0 min
epoch 80/1000: train 0.03728  val 0.03523  best val 0.03523 @ 80  lr 2.5e-06  2.3 min
epoch 90/1000: train 0.03561  val 0.03524  best val 0.03523 @ 80  lr 1.6e-06  2.6 min
epoch 100/1000: train 0.03357  val 0.03523  best val 0.03523 @ 80  lr 1.0e-06  2.9 min
epoch 110/1000: train 0.03686  val 0.03521  best val 0.03521 @ 110  lr 6.3e-07  3.2 min
epoch 120/1000: train 0.03254  val 0.03522  best val 0.03521 @ 110  lr 4.0e-07  3.5 min
epoch 130/1000: train 0.03110  val 0.03524  best val 0.03521 @ 110  lr 2.5e-07  3.8 min
epoch 140/1000: train 0.03737  val 0.03522  best val 0.03521 @ 110  lr 1.6e-07  4.1 min
epoch 150/1000: train 0.03172  val 0.03522  best val 0.03521 @ 110  lr 1.0e-07  4.3 min
epoch 160/1000: train 0.03336  val 0.03522  best val 0.03521 @ 110  lr 6.3e-08  4.6 min
epoch 170/1000: train 0.03774  val 0.03523  best val 0.03521 @ 110  lr 4.0e-08  4.9 min
epoch 180/1000: train 0.03164  val 0.03522  best val 0.03521 @ 110  lr 2.5e-08  5.2 min
epoch 190/1000: train 0.03267  val 0.03524  best val 0.03521 @ 110  lr 1.6e-08  5.5 min
epoch 200/1000: train 0.03767  val 0.03523  best val 0.03521 @ 110  lr 1.0e-08  5.8 min
epoch 210/1000: train 0.03560  val 0.03523  best val 0.03521 @ 110  lr 6.3e-09  6.1 min
epoch 220/1000: train 0.03453  val 0.03522  best val 0.03521 @ 110  lr 4.0e-09  6.4 min
epoch 230/1000: train 0.03570  val 0.03522  best val 0.03521 @ 110  lr 2.5e-09  6.6 min
epoch 240/1000: train 0.03168  val 0.03522  best val 0.03521 @ 110  lr 1.6e-09  6.9 min
epoch 250/1000: train 0.03230  val 0.03522  best val 0.03521 @ 110  lr 1.0e-09  7.2 min
epoch 260/1000: train 0.03312  val 0.03523  best val 0.03521 @ 110  lr 6.3e-10  7.5 min
epoch 270/1000: train 0.03876  val 0.03521  best val 0.03521 @ 110  lr 4.0e-10  7.8 min
epoch 280/1000: train 0.03110  val 0.03523  best val 0.03521 @ 110  lr 2.5e-10  8.1 min
epoch 290/1000: train 0.03648  val 0.03522  best val 0.03521 @ 110  lr 1.6e-10  8.4 min
