rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04502
epoch 10/1000: train 0.03600  val 0.03842  best val 0.03842 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.04087  val 0.03806  best val 0.03806 @ 20  lr 4.0e-05  0.5 min
epoch 30/1000: train 0.03512  val 0.03789  best val 0.03789 @ 30  lr 2.5e-05  0.8 min
epoch 40/1000: train 0.03676  val 0.03805  best val 0.03789 @ 30  lr 1.6e-05  1.1 min
epoch 50/1000: train 0.03343  val 0.03810  best val 0.03789 @ 30  lr 1.0e-05  1.3 min
epoch 60/1000: train 0.03189  val 0.03815  best val 0.03789 @ 30  lr 6.3e-06  1.6 min
epoch 70/1000: train 0.03299  val 0.03811  best val 0.03789 @ 30  lr 4.0e-06  1.8 min
epoch 80/1000: train 0.03340  val 0.03814  best val 0.03789 @ 30  lr 2.5e-06  2.1 min
epoch 90/1000: train 0.03150  val 0.03818  best val 0.03789 @ 30  lr 1.6e-06  2.4 min
epoch 100/1000: train 0.03231  val 0.03818  best val 0.03789 @ 30  lr 1.0e-06  2.6 min
epoch 110/1000: train 0.03340  val 0.03816  best val 0.03789 @ 30  lr 6.3e-07  2.9 min
epoch 120/1000: train 0.03090  val 0.03820  best val 0.03789 @ 30  lr 4.0e-07  3.1 min
epoch 130/1000: train 0.03152  val 0.03818  best val 0.03789 @ 30  lr 2.5e-07  3.4 min
epoch 140/1000: train 0.03377  val 0.03817  best val 0.03789 @ 30  lr 1.6e-07  3.7 min
epoch 150/1000: train 0.03722  val 0.03820  best val 0.03789 @ 30  lr 1.0e-07  3.9 min
epoch 160/1000: train 0.03113  val 0.03820  best val 0.03789 @ 30  lr 6.3e-08  4.2 min
epoch 170/1000: train 0.03134  val 0.03819  best val 0.03789 @ 30  lr 4.0e-08  4.4 min
epoch 180/1000: train 0.03129  val 0.03816  best val 0.03789 @ 30  lr 2.5e-08  4.7 min
epoch 190/1000: train 0.03277  val 0.03820  best val 0.03789 @ 30  lr 1.6e-08  5.0 min
epoch 200/1000: train 0.03099  val 0.03821  best val 0.03789 @ 30  lr 1.0e-08  5.2 min
epoch 210/1000: train 0.03293  val 0.03819  best val 0.03789 @ 30  lr 6.3e-09  5.5 min
epoch 220/1000: train 0.03498  val 0.03819  best val 0.03789 @ 30  lr 4.0e-09  5.7 min
epoch 230/1000: train 0.03302  val 0.03819  best val 0.03789 @ 30  lr 2.5e-09  6.0 min
epoch 240/1000: train 0.03427  val 0.03819  best val 0.03789 @ 30  lr 1.6e-09  6.3 min
epoch 250/1000: train 0.03103  val 0.03820  best val 0.03789 @ 30  lr 1.0e-09  6.5 min
epoch 260/1000: train 0.03517  val 0.03816  best val 0.03789 @ 30  lr 6.3e-10  6.8 min
