rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04357
epoch 10/1000: train 0.03868  val 0.03528  best val 0.03528 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.03625  val 0.03495  best val 0.03495 @ 20  lr 4.0e-05  0.5 min
epoch 30/1000: train 0.03307  val 0.03485  best val 0.03485 @ 30  lr 2.5e-05  0.8 min
epoch 40/1000: train 0.03619  val 0.03486  best val 0.03485 @ 30  lr 1.6e-05  1.1 min
epoch 50/1000: train 0.03358  val 0.03482  best val 0.03482 @ 50  lr 1.0e-05  1.3 min
epoch 60/1000: train 0.03414  val 0.03480  best val 0.03480 @ 60  lr 6.3e-06  1.6 min
epoch 70/1000: train 0.03524  val 0.03481  best val 0.03480 @ 60  lr 4.0e-06  1.8 min
epoch 80/1000: train 0.03325  val 0.03479  best val 0.03479 @ 80  lr 2.5e-06  2.1 min
epoch 90/1000: train 0.03281  val 0.03478  best val 0.03478 @ 90  lr 1.6e-06  2.4 min
epoch 100/1000: train 0.03480  val 0.03477  best val 0.03477 @ 100  lr 1.0e-06  2.6 min
epoch 110/1000: train 0.03266  val 0.03477  best val 0.03477 @ 110  lr 6.3e-07  2.9 min
epoch 120/1000: train 0.03498  val 0.03476  best val 0.03476 @ 120  lr 4.0e-07  3.1 min
epoch 130/1000: train 0.03365  val 0.03476  best val 0.03476 @ 120  lr 2.5e-07  3.4 min
epoch 140/1000: train 0.03475  val 0.03476  best val 0.03476 @ 120  lr 1.6e-07  3.7 min
epoch 150/1000: train 0.03191  val 0.03476  best val 0.03476 @ 120  lr 1.0e-07  3.9 min
epoch 160/1000: train 0.03175  val 0.03476  best val 0.03476 @ 120  lr 6.3e-08  4.2 min
epoch 170/1000: train 0.03242  val 0.03477  best val 0.03476 @ 120  lr 4.0e-08  4.4 min
epoch 180/1000: train 0.03445  val 0.03476  best val 0.03476 @ 120  lr 2.5e-08  4.7 min
epoch 190/1000: train 0.03364  val 0.03476  best val 0.03476 @ 120  lr 1.6e-08  5.0 min
epoch 200/1000: train 0.03197  val 0.03477  best val 0.03476 @ 120  lr 1.0e-08  5.2 min
epoch 210/1000: train 0.03451  val 0.03476  best val 0.03476 @ 120  lr 6.3e-09  5.5 min
epoch 220/1000: train 0.03622  val 0.03476  best val 0.03476 @ 120  lr 4.0e-09  5.7 min
epoch 230/1000: train 0.03245  val 0.03476  best val 0.03476 @ 120  lr 2.5e-09  6.0 min
epoch 240/1000: train 0.03271  val 0.03478  best val 0.03476 @ 120  lr 1.6e-09  6.3 min
epoch 250/1000: train 0.03604  val 0.03476  best val 0.03476 @ 120  lr 1.0e-09  6.5 min
epoch 260/1000: train 0.03527  val 0.03477  best val 0.03476 @ 120  lr 6.3e-10  6.8 min
epoch 270/1000: train 0.03525  val 0.03477  best val 0.03476 @ 120  lr 4.0e-10  7.0 min
epoch 280/1000: train 0.03309  val 0.03476  best val 0.03476 @ 120  lr 2.5e-10  7.3 min
epoch 290/1000: train 0.03225  val 0.03476  best val 0.03476 @ 290  lr 1.6e-10  7.6 min
epoch 300/1000: train 0.03374  val 0.03476  best val 0.03476 @ 290  lr 1.0e-10  7.8 min
epoch 310/1000: train 0.03180  val 0.03476  best val 0.03476 @ 290  lr 6.3e-11  8.1 min
epoch 320/1000: train 0.03244  val 0.03475  best val 0.03475 @ 320  lr 4.0e-11  8.3 min
epoch 330/1000: train 0.03335  val 0.03476  best val 0.03475 @ 320  lr 2.5e-11  8.6 min
epoch 340/1000: train 0.03251  val 0.03476  best val 0.03475 @ 320  lr 1.6e-11  8.9 min
epoch 350/1000: train 0.03412  val 0.03476  best val 0.03475 @ 320  lr 1.0e-11  9.1 min
epoch 360/1000: train 0.03199  val 0.03477  best val 0.03475 @ 320  lr 6.3e-12  9.4 min
epoch 370/1000: train 0.03084  val 0.03477  best val 0.03475 @ 320  lr 4.0e-12  9.6 min
epoch 380/1000: train 0.03373  val 0.03476  best val 0.03475 @ 320  lr 2.5e-12  9.9 min
epoch 390/1000: train 0.03322  val 0.03476  best val 0.03475 @ 320  lr 1.6e-12  10.1 min
epoch 400/1000: train 0.03389  val 0.03476  best val 0.03475 @ 320  lr 1.0e-12  10.4 min
epoch 410/1000: train 0.03248  val 0.03476  best val 0.03475 @ 320  lr 6.3e-13  10.7 min
epoch 420/1000: train 0.03236  val 0.03477  best val 0.03475 @ 320  lr 4.0e-13  10.9 min
epoch 430/1000: train 0.03456  val 0.03477  best val 0.03475 @ 320  lr 2.5e-13  11.2 min
epoch 440/1000: train 0.03396  val 0.03476  best val 0.03475 @ 320  lr 1.6e-13  11.4 min
epoch 450/1000: train 0.03479  val 0.03476  best val 0.03475 @ 320  lr 1.0e-13  11.7 min
epoch 460/1000: train 0.03282  val 0.03476  best val 0.03475 @ 320  lr 6.3e-14  12.0 min
epoch 470/1000: train 0.03546  val 0.03477  best val 0.03475 @ 320  lr 4.0e-14  12.2 min
epoch 480/1000: train 0.03113  val 0.03476  best val 0.03475 @ 320  lr 2.5e-14  12.5 min
epoch 490/1000: train 0.03337  val 0.03477  best val 0.03475 @ 320  lr 1.6e-14  12.7 min
epoch 500/1000: train 0.03125  val 0.03476  best val 0.03475 @ 320  lr 1.0e-14  13.0 min
epoch 510/1000: train 0.03540  val 0.03476  best val 0.03475 @ 320  lr 6.3e-15  13.3 min
epoch 520/1000: train 0.03157  val 0.03476  best val 0.03475 @ 320  lr 4.0e-15  13.5 min
epoch 530/1000: train 0.03425  val 0.03477  best val 0.03475 @ 320  lr 2.5e-15  13.8 min
epoch 540/1000: train 0.03243  val 0.03476  best val 0.03475 @ 320  lr 1.6e-15  14.0 min
epoch 550/1000: train 0.03437  val 0.03476  best val 0.03475 @ 320  lr 1.0e-15  14.3 min
epoch 560/1000: train 0.03135  val 0.03476  best val 0.03475 @ 320  lr 6.3e-16  14.6 min
epoch 570/1000: train 0.03182  val 0.03476  best val 0.03475 @ 320  lr 4.0e-16  14.8 min
epoch 580/1000: train 0.03502  val 0.03476  best val 0.03475 @ 320  lr 2.5e-16  15.1 min
epoch 590/1000: train 0.03681  val 0.03476  best val 0.03475 @ 320  lr 1.6e-16  15.3 min
epoch 600/1000: train 0.03366  val 0.03477  best val 0.03475 @ 320  lr 1.0e-16  15.6 min
epoch 610/1000: train 0.03232  val 0.03476  best val 0.03475 @ 320  lr 6.3e-17  15.9 min
epoch 620/1000: train 0.03224  val 0.03476  best val 0.03475 @ 320  lr 4.0e-17  16.1 min
epoch 630/1000: train 0.03441  val 0.03476  best val 0.03475 @ 320  lr 2.5e-17  16.4 min
epoch 640/1000: train 0.03165  val 0.03477  best val 0.03475 @ 320  lr 1.6e-17  16.6 min
epoch 650/1000: train 0.03258  val 0.03477  best val 0.03475 @ 320  lr 1.0e-17  16.9 min
epoch 660/1000: train 0.03169  val 0.03477  best val 0.03475 @ 320  lr 6.3e-18  17.2 min
epoch 670/1000: train 0.03393  val 0.03476  best val 0.03475 @ 320  lr 4.0e-18  17.4 min
epoch 680/1000: train 0.03185  val 0.03477  best val 0.03475 @ 320  lr 2.5e-18  17.7 min
epoch 690/1000: train 0.03262  val 0.03476  best val 0.03475 @ 320  lr 1.6e-18  17.9 min
epoch 700/1000: train 0.03489  val 0.03476  best val 0.03475 @ 320  lr 1.0e-18  18.2 min
epoch 710/1000: train 0.03398  val 0.03476  best val 0.03475 @ 320  lr 6.3e-19  18.4 min
epoch 720/1000: train 0.03400  val 0.03478  best val 0.03475 @ 320  lr 4.0e-19  18.7 min
epoch 730/1000: train 0.03183  val 0.03476  best val 0.03475 @ 320  lr 2.5e-19  19.0 min
epoch 740/1000: train 0.03465  val 0.03476  best val 0.03475 @ 320  lr 1.6e-19  19.2 min
epoch 750/1000: train 0.03308  val 0.03476  best val 0.03475 @ 320  lr 1.0e-19  19.5 min
epoch 760/1000: train 0.03410  val 0.03476  best val 0.03475 @ 320  lr 6.3e-20  19.7 min
epoch 770/1000: train 0.03515  val 0.03476  best val 0.03475 @ 320  lr 4.0e-20  20.0 min
epoch 780/1000: train 0.03352  val 0.03477  best val 0.03475 @ 320  lr 2.5e-20  20.3 min
epoch 790/1000: train 0.03115  val 0.03477  best val 0.03475 @ 320  lr 1.6e-20  20.5 min
epoch 800/1000: train 0.03107  val 0.03476  best val 0.03475 @ 320  lr 1.0e-20  20.8 min
epoch 810/1000: train 0.03369  val 0.03477  best val 0.03475 @ 320  lr 6.3e-21  21.0 min
epoch 820/1000: train 0.03510  val 0.03476  best val 0.03475 @ 320  lr 4.0e-21  21.3 min
epoch 830/1000: train 0.03300  val 0.03476  best val 0.03475 @ 320  lr 2.5e-21  21.6 min
epoch 840/1000: train 0.03412  val 0.03477  best val 0.03475 @ 320  lr 1.6e-21  21.8 min
epoch 850/1000: train 0.03134  val 0.03475  best val 0.03475 @ 850  lr 1.0e-21  22.1 min
epoch 860/1000: train 0.03129  val 0.03476  best val 0.03475 @ 850  lr 6.3e-22  22.3 min
epoch 870/1000: train 0.03464  val 0.03476  best val 0.03475 @ 850  lr 4.0e-22  22.6 min
epoch 880/1000: train 0.03223  val 0.03475  best val 0.03475 @ 850  lr 2.5e-22  22.9 min
epoch 890/1000: train 0.03655  val 0.03476  best val 0.03475 @ 850  lr 1.6e-22  23.1 min
epoch 900/1000: train 0.03249  val 0.03476  best val 0.03475 @ 850  lr 1.0e-22  23.4 min
epoch 910/1000: train 0.03258  val 0.03476  best val 0.03475 @ 850  lr 6.3e-23  23.6 min
epoch 920/1000: train 0.03626  val 0.03476  best val 0.03475 @ 850  lr 4.0e-23  23.9 min
epoch 930/1000: train 0.03136  val 0.03477  best val 0.03475 @ 850  lr 2.5e-23  24.2 min
epoch 940/1000: train 0.03324  val 0.03477  best val 0.03475 @ 850  lr 1.6e-23  24.4 min
epoch 950/1000: train 0.03346  val 0.03477  best val 0.03475 @ 850  lr 1.0e-23  24.7 min
epoch 960/1000: train 0.03461  val 0.03477  best val 0.03475 @ 850  lr 6.3e-24  24.9 min
epoch 970/1000: train 0.03250  val 0.03476  best val 0.03475 @ 850  lr 4.0e-24  25.2 min
epoch 980/1000: train 0.03237  val 0.03477  best val 0.03475 @ 850  lr 2.5e-24  25.5 min
epoch 990/1000: train 0.03358  val 0.03477  best val 0.03475 @ 850  lr 1.6e-24  25.7 min
epoch 1000/1000: train 0.03181  val 0.03476  best val 0.03475 @ 850  lr 1.0e-24  26.0 min
done: {"best_epoch": 850, "best_val_loss": 0.03474955171768965, "init_val_loss": 0.04356697915114372, "epochs": 1000, "minutes": 25.973700682322185, "rooms": ["class_room", "hallway", "complex_room"], "val_rooms": ["class_room", "hallway", "complex_room"], "init": "ckpt/xRIR_simple_8_shot/epoch_12.pth", "backbone": "simple", "seed": 2}
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torch/functional.py:641: UserWarning: stft with return_complex=False is deprecated. In a future pytorch release, stft will return complex tensors for all inputs, and return_complex=False will raise an error.
Note: you can still call torch.view_as_real on the complex output to recover the old return format. (Triggered internally at ../aten/src/ATen/native/SpectralOps.cpp:862.)
  return _VF.stft(input, n_fft, hop_length, win_length, window,  # type: ignore[attr-defined]
