rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04610
epoch 10/1000: train 0.04161  val 0.03893  best val 0.03893 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.03879  val 0.03828  best val 0.03828 @ 20  lr 4.0e-05  0.5 min
epoch 30/1000: train 0.03751  val 0.03827  best val 0.03827 @ 30  lr 2.5e-05  0.8 min
epoch 40/1000: train 0.03350  val 0.03820  best val 0.03820 @ 40  lr 1.6e-05  1.0 min
epoch 50/1000: train 0.03479  val 0.03821  best val 0.03820 @ 40  lr 1.0e-05  1.3 min
epoch 60/1000: train 0.03241  val 0.03828  best val 0.03820 @ 40  lr 6.3e-06  1.6 min
epoch 70/1000: train 0.03488  val 0.03823  best val 0.03820 @ 40  lr 4.0e-06  1.8 min
epoch 80/1000: train 0.03129  val 0.03825  best val 0.03820 @ 40  lr 2.5e-06  2.1 min
epoch 90/1000: train 0.03347  val 0.03826  best val 0.03820 @ 40  lr 1.6e-06  2.3 min
epoch 100/1000: train 0.03378  val 0.03828  best val 0.03820 @ 40  lr 1.0e-06  2.6 min
epoch 110/1000: train 0.03081  val 0.03826  best val 0.03820 @ 40  lr 6.3e-07  2.9 min
epoch 120/1000: train 0.03353  val 0.03824  best val 0.03820 @ 40  lr 4.0e-07  3.1 min
epoch 130/1000: train 0.03348  val 0.03823  best val 0.03820 @ 40  lr 2.5e-07  3.4 min
epoch 140/1000: train 0.03154  val 0.03823  best val 0.03820 @ 40  lr 1.6e-07  3.6 min
epoch 150/1000: train 0.03070  val 0.03823  best val 0.03820 @ 40  lr 1.0e-07  3.9 min
epoch 160/1000: train 0.03385  val 0.03822  best val 0.03820 @ 40  lr 6.3e-08  4.2 min
epoch 170/1000: train 0.03455  val 0.03824  best val 0.03820 @ 40  lr 4.0e-08  4.4 min
epoch 180/1000: train 0.03455  val 0.03823  best val 0.03820 @ 40  lr 2.5e-08  4.7 min
epoch 190/1000: train 0.03454  val 0.03824  best val 0.03820 @ 40  lr 1.6e-08  4.9 min
epoch 200/1000: train 0.03705  val 0.03826  best val 0.03820 @ 40  lr 1.0e-08  5.2 min
epoch 210/1000: train 0.03144  val 0.03823  best val 0.03820 @ 40  lr 6.3e-09  5.5 min
