rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; frame heading; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04378
epoch 10/1000: train 0.03592  val 0.03750  best val 0.03750 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.03684  val 0.03719  best val 0.03719 @ 20  lr 4.0e-05  0.7 min
epoch 30/1000: train 0.03482  val 0.03702  best val 0.03702 @ 30  lr 2.5e-05  1.0 min
epoch 40/1000: train 0.03327  val 0.03684  best val 0.03684 @ 40  lr 1.6e-05  1.4 min
epoch 50/1000: train 0.03324  val 0.03675  best val 0.03675 @ 50  lr 1.0e-05  1.7 min
epoch 60/1000: train 0.03322  val 0.03677  best val 0.03675 @ 50  lr 6.3e-06  2.0 min
epoch 70/1000: train 0.03259  val 0.03674  best val 0.03674 @ 70  lr 4.0e-06  2.3 min
epoch 80/1000: train 0.03299  val 0.03671  best val 0.03671 @ 80  lr 2.5e-06  2.7 min
epoch 90/1000: train 0.03324  val 0.03672  best val 0.03671 @ 80  lr 1.6e-06  3.0 min
epoch 100/1000: train 0.03495  val 0.03670  best val 0.03670 @ 100  lr 1.0e-06  3.3 min
epoch 110/1000: train 0.03757  val 0.03670  best val 0.03670 @ 100  lr 6.3e-07  3.7 min
epoch 120/1000: train 0.03249  val 0.03671  best val 0.03670 @ 100  lr 4.0e-07  4.0 min
epoch 130/1000: train 0.03454  val 0.03671  best val 0.03670 @ 100  lr 2.5e-07  4.4 min
epoch 140/1000: train 0.03655  val 0.03670  best val 0.03670 @ 100  lr 1.6e-07  4.7 min
epoch 150/1000: train 0.03687  val 0.03671  best val 0.03670 @ 100  lr 1.0e-07  5.0 min
epoch 160/1000: train 0.03187  val 0.03670  best val 0.03670 @ 100  lr 6.3e-08  5.4 min
epoch 170/1000: train 0.03340  val 0.03673  best val 0.03670 @ 100  lr 4.0e-08  5.7 min
epoch 180/1000: train 0.03286  val 0.03671  best val 0.03670 @ 100  lr 2.5e-08  6.0 min
epoch 190/1000: train 0.03514  val 0.03670  best val 0.03670 @ 190  lr 1.6e-08  6.4 min
epoch 200/1000: train 0.03496  val 0.03671  best val 0.03670 @ 190  lr 1.0e-08  6.7 min
epoch 210/1000: train 0.03287  val 0.03670  best val 0.03670 @ 190  lr 6.3e-09  7.0 min
epoch 220/1000: train 0.03365  val 0.03669  best val 0.03669 @ 220  lr 4.0e-09  7.3 min
epoch 230/1000: train 0.03626  val 0.03672  best val 0.03669 @ 220  lr 2.5e-09  7.6 min
epoch 240/1000: train 0.03622  val 0.03670  best val 0.03669 @ 220  lr 1.6e-09  7.9 min
epoch 250/1000: train 0.03580  val 0.03672  best val 0.03669 @ 220  lr 1.0e-09  8.2 min
epoch 260/1000: train 0.03194  val 0.03671  best val 0.03669 @ 220  lr 6.3e-10  8.5 min
epoch 270/1000: train 0.03717  val 0.03670  best val 0.03669 @ 220  lr 4.0e-10  8.8 min
epoch 280/1000: train 0.03302  val 0.03668  best val 0.03668 @ 280  lr 2.5e-10  9.1 min
epoch 290/1000: train 0.03333  val 0.03671  best val 0.03668 @ 280  lr 1.6e-10  9.5 min
epoch 300/1000: train 0.03421  val 0.03672  best val 0.03668 @ 280  lr 1.0e-10  9.8 min
