rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; frame heading; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04193
epoch 10/1000: train 0.03934  val 0.03539  best val 0.03539 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.04036  val 0.03533  best val 0.03533 @ 20  lr 4.0e-05  0.6 min
epoch 30/1000: train 0.03332  val 0.03519  best val 0.03519 @ 30  lr 2.5e-05  0.9 min
epoch 40/1000: train 0.03803  val 0.03511  best val 0.03511 @ 40  lr 1.6e-05  1.2 min
epoch 50/1000: train 0.03574  val 0.03510  best val 0.03510 @ 50  lr 1.0e-05  1.5 min
epoch 60/1000: train 0.03602  val 0.03506  best val 0.03506 @ 60  lr 6.3e-06  1.8 min
epoch 70/1000: train 0.03576  val 0.03502  best val 0.03502 @ 70  lr 4.0e-06  2.1 min
epoch 80/1000: train 0.03409  val 0.03500  best val 0.03500 @ 80  lr 2.5e-06  2.4 min
epoch 90/1000: train 0.03427  val 0.03498  best val 0.03498 @ 90  lr 1.6e-06  2.7 min
epoch 100/1000: train 0.03482  val 0.03499  best val 0.03498 @ 90  lr 1.0e-06  3.0 min
epoch 110/1000: train 0.03386  val 0.03499  best val 0.03498 @ 90  lr 6.3e-07  3.3 min
epoch 120/1000: train 0.03531  val 0.03498  best val 0.03498 @ 120  lr 4.0e-07  3.6 min
epoch 130/1000: train 0.03412  val 0.03498  best val 0.03498 @ 130  lr 2.5e-07  3.9 min
epoch 140/1000: train 0.03328  val 0.03500  best val 0.03498 @ 130  lr 1.6e-07  4.3 min
epoch 150/1000: train 0.03865  val 0.03500  best val 0.03498 @ 130  lr 1.0e-07  4.6 min
epoch 160/1000: train 0.03274  val 0.03498  best val 0.03498 @ 130  lr 6.3e-08  4.9 min
epoch 170/1000: train 0.03869  val 0.03498  best val 0.03498 @ 130  lr 4.0e-08  5.2 min
epoch 180/1000: train 0.03505  val 0.03501  best val 0.03498 @ 130  lr 2.5e-08  5.5 min
epoch 190/1000: train 0.03213  val 0.03500  best val 0.03498 @ 130  lr 1.6e-08  5.8 min
epoch 200/1000: train 0.03261  val 0.03498  best val 0.03498 @ 130  lr 1.0e-08  6.1 min
epoch 210/1000: train 0.03263  val 0.03500  best val 0.03498 @ 130  lr 6.3e-09  6.4 min
epoch 220/1000: train 0.03378  val 0.03498  best val 0.03498 @ 130  lr 4.0e-09  6.7 min
epoch 230/1000: train 0.03558  val 0.03499  best val 0.03498 @ 130  lr 2.5e-09  7.0 min
epoch 240/1000: train 0.03349  val 0.03499  best val 0.03498 @ 130  lr 1.6e-09  7.3 min
epoch 250/1000: train 0.03492  val 0.03500  best val 0.03498 @ 130  lr 1.0e-09  7.6 min
epoch 260/1000: train 0.03288  val 0.03498  best val 0.03498 @ 130  lr 6.3e-10  7.9 min
