rooms ['class_room', 'hallway', 'complex_room']: 36 train targets, 494 val samples from ['class_room', 'hallway', 'complex_room']; frame room; batch 36 x accum 1; 1 batches/epoch
epoch 0 (init): val loss 0.04090
epoch 10/1000: train 0.03765  val 0.03617  best val 0.03617 @ 10  lr 6.3e-05  0.3 min
epoch 20/1000: train 0.04285  val 0.03551  best val 0.03551 @ 20  lr 4.0e-05  0.5 min
epoch 30/1000: train 0.03909  val 0.03525  best val 0.03525 @ 30  lr 2.5e-05  0.8 min
epoch 40/1000: train 0.03994  val 0.03510  best val 0.03510 @ 40  lr 1.6e-05  1.0 min
epoch 50/1000: train 0.03689  val 0.03506  best val 0.03506 @ 50  lr 1.0e-05  1.3 min
epoch 60/1000: train 0.03332  val 0.03500  best val 0.03500 @ 60  lr 6.3e-06  1.6 min
epoch 70/1000: train 0.03645  val 0.03495  best val 0.03495 @ 70  lr 4.0e-06  1.8 min
epoch 80/1000: train 0.03805  val 0.03492  best val 0.03492 @ 80  lr 2.5e-06  2.1 min
epoch 90/1000: train 0.03360  val 0.03491  best val 0.03491 @ 90  lr 1.6e-06  2.4 min
epoch 100/1000: train 0.03639  val 0.03490  best val 0.03490 @ 100  lr 1.0e-06  2.6 min
epoch 110/1000: train 0.03611  val 0.03489  best val 0.03489 @ 110  lr 6.3e-07  2.9 min
epoch 120/1000: train 0.03329  val 0.03490  best val 0.03489 @ 110  lr 4.0e-07  3.2 min
epoch 130/1000: train 0.03320  val 0.03490  best val 0.03489 @ 110  lr 2.5e-07  3.4 min
epoch 140/1000: train 0.03850  val 0.03489  best val 0.03489 @ 140  lr 1.6e-07  3.7 min
epoch 150/1000: train 0.04010  val 0.03490  best val 0.03489 @ 140  lr 1.0e-07  4.0 min
epoch 160/1000: train 0.03495  val 0.03489  best val 0.03489 @ 140  lr 6.3e-08  4.2 min
epoch 170/1000: train 0.03423  val 0.03490  best val 0.03489 @ 140  lr 4.0e-08  4.5 min
epoch 180/1000: train 0.03381  val 0.03490  best val 0.03489 @ 140  lr 2.5e-08  4.8 min
epoch 190/1000: train 0.03565  val 0.03490  best val 0.03489 @ 140  lr 1.6e-08  5.0 min
epoch 200/1000: train 0.03398  val 0.03490  best val 0.03489 @ 140  lr 1.0e-08  5.3 min
epoch 210/1000: train 0.03767  val 0.03490  best val 0.03489 @ 140  lr 6.3e-09  5.5 min
epoch 220/1000: train 0.03919  val 0.03490  best val 0.03489 @ 140  lr 4.0e-09  5.8 min
epoch 230/1000: train 0.03759  val 0.03490  best val 0.03489 @ 140  lr 2.5e-09  6.0 min
epoch 240/1000: train 0.03847  val 0.03490  best val 0.03489 @ 140  lr 1.6e-09  6.3 min
epoch 250/1000: train 0.03395  val 0.03491  best val 0.03489 @ 140  lr 1.0e-09  6.6 min
epoch 260/1000: train 0.03962  val 0.03489  best val 0.03489 @ 140  lr 6.3e-10  6.8 min
epoch 270/1000: train 0.03415  val 0.03491  best val 0.03489 @ 140  lr 4.0e-10  7.1 min
epoch 280/1000: train 0.03368  val 0.03489  best val 0.03489 @ 140  lr 2.5e-10  7.4 min
epoch 290/1000: train 0.03448  val 0.03490  best val 0.03489 @ 140  lr 1.6e-10  7.6 min
epoch 300/1000: train 0.03422  val 0.03490  best val 0.03489 @ 140  lr 1.0e-10  7.9 min
epoch 310/1000: train 0.03474  val 0.03491  best val 0.03489 @ 140  lr 6.3e-11  8.1 min
epoch 320/1000: train 0.03259  val 0.03489  best val 0.03489 @ 140  lr 4.0e-11  8.4 min
epoch 330/1000: train 0.03460  val 0.03490  best val 0.03489 @ 140  lr 2.5e-11  8.7 min
epoch 340/1000: train 0.03394  val 0.03490  best val 0.03489 @ 140  lr 1.6e-11  8.9 min
epoch 350/1000: train 0.03270  val 0.03489  best val 0.03489 @ 350  lr 1.0e-11  9.2 min
epoch 360/1000: train 0.03702  val 0.03490  best val 0.03489 @ 350  lr 6.3e-12  9.4 min
epoch 370/1000: train 0.03343  val 0.03489  best val 0.03489 @ 370  lr 4.0e-12  9.7 min
epoch 380/1000: train 0.03444  val 0.03489  best val 0.03489 @ 370  lr 2.5e-12  10.0 min
epoch 390/1000: train 0.03385  val 0.03489  best val 0.03489 @ 370  lr 1.6e-12  10.2 min
epoch 400/1000: train 0.03407  val 0.03490  best val 0.03489 @ 370  lr 1.0e-12  10.5 min
epoch 410/1000: train 0.03834  val 0.03490  best val 0.03489 @ 370  lr 6.3e-13  10.7 min
epoch 420/1000: train 0.03327  val 0.03490  best val 0.03489 @ 370  lr 4.0e-13  11.0 min
epoch 430/1000: train 0.03714  val 0.03490  best val 0.03489 @ 370  lr 2.5e-13  11.2 min
epoch 440/1000: train 0.03774  val 0.03491  best val 0.03489 @ 370  lr 1.6e-13  11.5 min
epoch 450/1000: train 0.03620  val 0.03490  best val 0.03489 @ 370  lr 1.0e-13  11.8 min
epoch 460/1000: train 0.03830  val 0.03491  best val 0.03489 @ 370  lr 6.3e-14  12.1 min
epoch 470/1000: train 0.03312  val 0.03488  best val 0.03488 @ 470  lr 4.0e-14  12.4 min
epoch 480/1000: train 0.03280  val 0.03491  best val 0.03488 @ 470  lr 2.5e-14  12.7 min
epoch 490/1000: train 0.03637  val 0.03489  best val 0.03488 @ 470  lr 1.6e-14  13.0 min
epoch 500/1000: train 0.03823  val 0.03489  best val 0.03488 @ 470  lr 1.0e-14  13.4 min
epoch 510/1000: train 0.03782  val 0.03490  best val 0.03488 @ 470  lr 6.3e-15  13.7 min
epoch 520/1000: train 0.03433  val 0.03490  best val 0.03488 @ 470  lr 4.0e-15  14.0 min
epoch 530/1000: train 0.03334  val 0.03490  best val 0.03488 @ 470  lr 2.5e-15  14.3 min
epoch 540/1000: train 0.03579  val 0.03489  best val 0.03488 @ 470  lr 1.6e-15  14.6 min
epoch 550/1000: train 0.03957  val 0.03491  best val 0.03488 @ 470  lr 1.0e-15  14.9 min
epoch 560/1000: train 0.03774  val 0.03489  best val 0.03488 @ 470  lr 6.3e-16  15.2 min
epoch 570/1000: train 0.03455  val 0.03490  best val 0.03488 @ 470  lr 4.0e-16  15.5 min
epoch 580/1000: train 0.03544  val 0.03489  best val 0.03488 @ 470  lr 2.5e-16  15.8 min
epoch 590/1000: train 0.03414  val 0.03489  best val 0.03488 @ 470  lr 1.6e-16  16.1 min
epoch 600/1000: train 0.03380  val 0.03490  best val 0.03488 @ 470  lr 1.0e-16  16.4 min
epoch 610/1000: train 0.03285  val 0.03489  best val 0.03488 @ 470  lr 6.3e-17  16.7 min
epoch 620/1000: train 0.03741  val 0.03489  best val 0.03488 @ 470  lr 4.0e-17  16.9 min
epoch 630/1000: train 0.03797  val 0.03490  best val 0.03488 @ 470  lr 2.5e-17  17.2 min
epoch 640/1000: train 0.03672  val 0.03489  best val 0.03488 @ 470  lr 1.6e-17  17.5 min
epoch 650/1000: train 0.03508  val 0.03489  best val 0.03488 @ 470  lr 1.0e-17  17.8 min
epoch 660/1000: train 0.03469  val 0.03490  best val 0.03488 @ 470  lr 6.3e-18  18.1 min
epoch 670/1000: train 0.03583  val 0.03490  best val 0.03488 @ 470  lr 4.0e-18  18.4 min
epoch 680/1000: train 0.03901  val 0.03490  best val 0.03488 @ 470  lr 2.5e-18  18.7 min
epoch 690/1000: train 0.03651  val 0.03490  best val 0.03488 @ 470  lr 1.6e-18  19.1 min
epoch 700/1000: train 0.03398  val 0.03490  best val 0.03488 @ 470  lr 1.0e-18  19.4 min
epoch 710/1000: train 0.03805  val 0.03490  best val 0.03488 @ 470  lr 6.3e-19  19.7 min
epoch 720/1000: train 0.03378  val 0.03490  best val 0.03488 @ 470  lr 4.0e-19  19.9 min
epoch 730/1000: train 0.04105  val 0.03490  best val 0.03488 @ 470  lr 2.5e-19  20.2 min
epoch 740/1000: train 0.03833  val 0.03490  best val 0.03488 @ 470  lr 1.6e-19  20.5 min
epoch 750/1000: train 0.03701  val 0.03490  best val 0.03488 @ 470  lr 1.0e-19  20.8 min
epoch 760/1000: train 0.03751  val 0.03490  best val 0.03488 @ 470  lr 6.3e-20  21.1 min
epoch 770/1000: train 0.03512  val 0.03490  best val 0.03488 @ 470  lr 4.0e-20  21.3 min
epoch 780/1000: train 0.03517  val 0.03491  best val 0.03488 @ 470  lr 2.5e-20  21.6 min
epoch 790/1000: train 0.03695  val 0.03489  best val 0.03488 @ 470  lr 1.6e-20  21.8 min
epoch 800/1000: train 0.03674  val 0.03489  best val 0.03488 @ 470  lr 1.0e-20  22.1 min
epoch 810/1000: train 0.03873  val 0.03491  best val 0.03488 @ 470  lr 6.3e-21  22.4 min
epoch 820/1000: train 0.03834  val 0.03489  best val 0.03488 @ 470  lr 4.0e-21  22.7 min
epoch 830/1000: train 0.03668  val 0.03489  best val 0.03488 @ 470  lr 2.5e-21  22.9 min
epoch 840/1000: train 0.03586  val 0.03489  best val 0.03488 @ 470  lr 1.6e-21  23.2 min
epoch 850/1000: train 0.03773  val 0.03491  best val 0.03488 @ 470  lr 1.0e-21  23.5 min
epoch 860/1000: train 0.04002  val 0.03490  best val 0.03488 @ 470  lr 6.3e-22  23.8 min
epoch 870/1000: train 0.03373  val 0.03489  best val 0.03488 @ 470  lr 4.0e-22  24.2 min
epoch 880/1000: train 0.03404  val 0.03489  best val 0.03488 @ 470  lr 2.5e-22  24.5 min
epoch 890/1000: train 0.03757  val 0.03489  best val 0.03488 @ 470  lr 1.6e-22  24.8 min
epoch 900/1000: train 0.03856  val 0.03489  best val 0.03488 @ 470  lr 1.0e-22  25.1 min
epoch 910/1000: train 0.03274  val 0.03490  best val 0.03488 @ 470  lr 6.3e-23  25.4 min
epoch 920/1000: train 0.03301  val 0.03488  best val 0.03488 @ 920  lr 4.0e-23  25.7 min
epoch 930/1000: train 0.03372  val 0.03489  best val 0.03488 @ 920  lr 2.5e-23  26.0 min
epoch 940/1000: train 0.03361  val 0.03489  best val 0.03488 @ 920  lr 1.6e-23  26.3 min
epoch 950/1000: train 0.03663  val 0.03488  best val 0.03488 @ 920  lr 1.0e-23  26.6 min
epoch 960/1000: train 0.03741  val 0.03489  best val 0.03488 @ 920  lr 6.3e-24  26.9 min
epoch 970/1000: train 0.03842  val 0.03489  best val 0.03488 @ 920  lr 4.0e-24  27.2 min
epoch 980/1000: train 0.03943  val 0.03491  best val 0.03488 @ 920  lr 2.5e-24  27.5 min
epoch 990/1000: train 0.03641  val 0.03489  best val 0.03488 @ 920  lr 1.6e-24  27.8 min
epoch 1000/1000: train 0.03678  val 0.03490  best val 0.03488 @ 920  lr 1.0e-24  28.1 min
done: {"best_epoch": 920, "best_val_loss": 0.0348841722391033, "init_val_loss": 0.04090076442129216, "epochs": 1000, "minutes": 28.123910919825235, "rooms": ["class_room", "hallway", "complex_room"], "val_rooms": ["class_room", "hallway", "complex_room"], "init": "ckpt/xRIR_simple_yawaug_8_shot/final/epoch_012.pth", "backbone": "simple", "seed": 1, "frame": "room"}
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3483.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=None`.
  warnings.warn(msg)
/home/yixunhu/miniconda3/envs/xRIR/lib/python3.8/site-packages/torch/functional.py:641: UserWarning: stft with return_complex=False is deprecated. In a future pytorch release, stft will return complex tensors for all inputs, and return_complex=False will raise an error.
Note: you can still call torch.view_as_real on the complex output to recover the old return format. (Triggered internally at ../aten/src/ATen/native/SpectralOps.cpp:862.)
  return _VF.stft(input, n_fft, hop_length, win_length, window,  # type: ignore[attr-defined]
EXP06_CHILD_EXIT 0 2026-09-20T08:46:40+00:00
