env,room,query_id,model,edt_s,c50_db,t60_pct
haa,class_room,mic2,simplevit,0.0503401,1.43992,3.44896
haa,class_room,mic3,simplevit,0.0435374,0.402529,11.4913
haa,class_room,mic4,simplevit,0.0816327,0.478097,1.36423
haa,class_room,mic6,simplevit,0.0734694,0.800548,5.6314
haa,class_room,mic7,simplevit,0.147755,1.88705,3.08698
haa,class_room,mic8,simplevit,0.090068,1.19404,5.36595
haa,class_room,mic10,simplevit,0.0780952,1.46698,6.81688
haa,class_room,mic11,simplevit,0.0370068,0.713953,6.09733
haa,class_room,mic12,simplevit,0.0340136,0.0719905,0.967982
haa,class_room,mic14,simplevit,0.0133333,0.0845182,0.26643
haa,class_room,mic15,simplevit,0.0201361,0.638964,3.06985
haa,class_room,mic16,simplevit,0.0244898,0.844269,3.05457
haa,class_room,mic18,simplevit,0.0402721,0.115065,0.0559493
haa,class_room,mic19,simplevit,0.0280272,0.105515,2.37605
haa,class_room,mic20,simplevit,0.0193197,0.6125,5.53232
haa,class_room,mic22,simplevit,0.090068,1.45409,5.51106
haa,class_room,mic23,simplevit,0.127075,2.17556,8.49481
haa,class_room,mic24,simplevit,0.12381,1.75166,10.1358
haa,class_room,mic26,simplevit,0.0985034,0.788528,8.39534
haa,class_room,mic27,simplevit,0.0677551,0.252314,4.49813
haa,class_room,mic28,simplevit,0.0185034,1.31216,4.08575
haa,class_room,mic30,simplevit,0.0489796,1.19415,0.803366
haa,class_room,mic31,simplevit,0.17034,2.08032,6.92248
haa,class_room,mic32,simplevit,0.0370068,0.392917,6.76067
haa,class_room,mic34,simplevit,0.092517,0.239464,7.9713
haa,class_room,mic35,simplevit,0.277007,3.41982,11.9186
haa,class_room,mic36,simplevit,0.120816,1.7213,3.81404
haa,class_room,mic38,simplevit,0.0544218,0.184974,2.53165
haa,class_room,mic39,simplevit,0.138776,2.16126,12.8824
haa,class_room,mic40,simplevit,0.215782,2.48858,6.82425
haa,class_room,mic42,simplevit,0.194014,1.92591,12.1716
haa,class_room,mic43,simplevit,0.094966,1.48993,6.29226
haa,class_room,mic44,simplevit,0.134966,3.61812,0.806149
haa,class_room,mic46,simplevit,0.0726531,0.0106555,8.4502
haa,class_room,mic47,simplevit,0.00190476,1.29688,5.38503
haa,class_room,mic48,simplevit,0.205714,3.09972,10.0284
haa,class_room,mic50,simplevit,0.0372789,1.52899,2.23147
haa,class_room,mic51,simplevit,0.0911565,1.6735,0.559806
haa,class_room,mic52,simplevit,0.0579592,2.22074,0.595792
haa,class_room,mic54,simplevit,0.0092517,1.40466,3.00888
haa,class_room,mic55,simplevit,0.0560544,2.11416,1.03169
haa,class_room,mic56,simplevit,0.0206803,0.493426,1.31319
haa,class_room,mic58,simplevit,0.0772789,0.787745,1.08376
haa,class_room,mic60,simplevit,0.0503401,1.16702,0.636132
haa,class_room,mic61,simplevit,0.0165986,1.10441,2.59764
haa,class_room,mic62,simplevit,0.0497959,0.38074,1.48368
haa,class_room,mic64,simplevit,0.0152381,0.606036,0.829035
haa,class_room,mic65,simplevit,0.00435374,0.825608,2.88828
haa,class_room,mic66,simplevit,0.0661224,1.46724,2.85661
haa,class_room,mic68,simplevit,0.0753741,0.679596,1.63875
haa,class_room,mic69,simplevit,0.0277551,0.536928,0.696798
haa,class_room,mic70,simplevit,0.0976871,1.39014,0.900732
