env,room,query_id,model,log_stft_mse
acousticrooms_unseen,Apartments_idx_42,S1_R1,simplevit,1.58606
acousticrooms_unseen,Apartments_idx_42,S1_R2,simplevit,1.46985
acousticrooms_unseen,Apartments_idx_42,S1_R3,simplevit,1.83432
acousticrooms_unseen,Apartments_idx_42,S1_R4,simplevit,1.68209
acousticrooms_unseen,Apartments_idx_42,S1_R5,simplevit,1.67099
acousticrooms_unseen,Apartments_idx_42,S1_R6,simplevit,1.58494
acousticrooms_unseen,Apartments_idx_42,S1_R7,simplevit,1.60684
acousticrooms_unseen,Apartments_idx_42,S1_R8,simplevit,1.64057
acousticrooms_unseen,Apartments_idx_42,S1_R9,simplevit,1.61766
acousticrooms_unseen,Apartments_idx_42,S1_R10,simplevit,1.57835
acousticrooms_unseen,Apartments_idx_42,S1_R11,simplevit,1.47175
acousticrooms_unseen,Apartments_idx_42,S1_R12,simplevit,1.41392
acousticrooms_unseen,Apartments_idx_42,S1_R13,simplevit,1.41531
acousticrooms_unseen,Apartments_idx_42,S1_R14,simplevit,1.51136
acousticrooms_unseen,Apartments_idx_42,S1_R15,simplevit,1.65257
acousticrooms_unseen,Apartments_idx_42,S1_R16,simplevit,1.77083
acousticrooms_unseen,Apartments_idx_42,S1_R17,simplevit,1.76949
acousticrooms_unseen,Apartments_idx_42,S1_R18,simplevit,1.77248
acousticrooms_unseen,Apartments_idx_42,S1_R19,simplevit,1.73404
acousticrooms_unseen,Apartments_idx_42,S1_R20,simplevit,1.54897
acousticrooms_unseen,Apartments_idx_42,S1_R21,simplevit,1.69887
acousticrooms_unseen,Apartments_idx_42,S1_R22,simplevit,1.63288
acousticrooms_unseen,Apartments_idx_42,S1_R23,simplevit,1.69668
acousticrooms_unseen,Apartments_idx_42,S1_R24,simplevit,1.969
acousticrooms_unseen,Apartments_idx_42,S1_R25,simplevit,2.1391
acousticrooms_unseen,Apartments_idx_42,S2_R1,simplevit,1.66296
acousticrooms_unseen,Apartments_idx_42,S2_R2,simplevit,1.54205
acousticrooms_unseen,Apartments_idx_42,S2_R3,simplevit,1.70942
acousticrooms_unseen,Apartments_idx_42,S2_R4,simplevit,1.56838
acousticrooms_unseen,Apartments_idx_42,S2_R5,simplevit,1.73438
acousticrooms_unseen,Apartments_idx_42,S2_R6,simplevit,1.60343
acousticrooms_unseen,Apartments_idx_42,S2_R7,simplevit,1.59756
acousticrooms_unseen,Apartments_idx_42,S2_R8,simplevit,1.77422
acousticrooms_unseen,Apartments_idx_42,S2_R9,simplevit,1.64839
acousticrooms_unseen,Apartments_idx_42,S2_R10,simplevit,1.69495
acousticrooms_unseen,Apartments_idx_42,S2_R11,simplevit,1.61213
acousticrooms_unseen,Apartments_idx_42,S2_R12,simplevit,1.48557
acousticrooms_unseen,Apartments_idx_42,S2_R13,simplevit,1.50461
acousticrooms_unseen,Apartments_idx_42,S2_R14,simplevit,1.5509
acousticrooms_unseen,Apartments_idx_42,S2_R15,simplevit,1.82723
acousticrooms_unseen,Apartments_idx_42,S2_R16,simplevit,1.94044
acousticrooms_unseen,Apartments_idx_42,S2_R17,simplevit,1.83531
acousticrooms_unseen,Apartments_idx_42,S2_R18,simplevit,1.95171
acousticrooms_unseen,Apartments_idx_42,S2_R19,simplevit,1.97314
acousticrooms_unseen,Apartments_idx_42,S2_R20,simplevit,1.64983
acousticrooms_unseen,Apartments_idx_42,S2_R21,simplevit,1.86245
acousticrooms_unseen,Apartments_idx_42,S2_R22,simplevit,1.64877
acousticrooms_unseen,Apartments_idx_42,S2_R23,simplevit,1.90081
acousticrooms_unseen,Apartments_idx_42,S2_R24,simplevit,2.00971
acousticrooms_unseen,Apartments_idx_42,S2_R25,simplevit,1.97975
acousticrooms_unseen,Apartments_idx_42,S3_R1,simplevit,1.6793
acousticrooms_unseen,Apartments_idx_42,S3_R2,simplevit,1.65621
acousticrooms_unseen,Apartments_idx_42,S3_R3,simplevit,1.89767
acousticrooms_unseen,Apartments_idx_42,S3_R4,simplevit,1.83048
acousticrooms_unseen,Apartments_idx_42,S3_R5,simplevit,1.91636
acousticrooms_unseen,Apartments_idx_42,S3_R6,simplevit,1.87135
acousticrooms_unseen,Apartments_idx_42,S3_R7,simplevit,1.80844
