model,epoch,optimizer_steps,t60_error_pct,c50_error_db,edt_error_ms,stft_log_mse,n_queries,source
simple,1,4630,12.1111,1.46637,58.6497,0.427817,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch01.json
simple,2,9260,10.2707,1.34969,50.1916,0.419292,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch02.json
simple,3,13891,10.2813,1.25212,49.1494,0.427339,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch03.json
simple,4,18521,9.54838,1.22513,50.1538,0.436903,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch04.json
simple,5,23151,9.8121,1.27607,47.8587,0.412516,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch05.json
simple,6,27781,9.67668,1.25565,47.0775,0.412835,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch06.json
simple,7,32412,9.49744,1.24437,46.9526,0.422624,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch07.json
simple,8,37042,9.56473,1.25647,46.6729,0.412826,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch08.json
simple,9,41672,9.6624,1.23631,47.4646,0.423031,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch09.json
simple,10,46302,9.50071,1.23953,46.9469,0.421768,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch10.json
simple,11,50932,9.57679,1.22198,47.2049,0.418534,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch11.json
simple,12,55563,9.58689,1.23401,47.2744,0.424936,6337,ckpt/xRIR_simple_8_shot/eval_unseen_epoch12.json
cyl,1,4630,11.7729,1.49656,57.7115,0.461779,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch01.json
cyl,2,9260,8.91329,1.42818,52.5728,0.426617,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch02.json
cyl,3,13891,9.94909,1.27633,45.8371,0.435034,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch03.json
cyl,4,18521,9.99923,1.24439,45.3365,0.415254,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch04.json
cyl,5,23151,9.72051,1.25715,44.8366,0.408662,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch05.json
cyl,6,27781,9.53757,1.23282,45.4883,0.411103,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch06.json
cyl,7,32412,9.8343,1.24052,46.1833,0.419321,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch07.json
cyl,8,37042,9.54758,1.2165,45.4,0.416449,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch08.json
cyl,9,41672,9.49842,1.23599,45.3543,0.406456,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch09.json
cyl,10,46302,9.47797,1.24244,45.4235,0.414401,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch10.json
cyl,11,50932,9.49731,1.23059,45.6448,0.408687,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch11.json
cyl,12,55563,9.45561,1.24144,45.0535,0.41889,6337,ckpt/xRIR_cyl_8_shot/eval_unseen_epoch12.json
